"","ENSG00000236698.1","ENSG00000234335.1","ENSG00000026025.8","ENSG00000084207.11","ENSG00000211962.2","ENSG00000216490.1","ENSG00000226948.1","ENSG00000244073.1","ENSG00000002586.12","ENSG00000229807.3","ENSG00000125354.17","ENSG00000072501.11","ENSG00000126012.7","ENSG00000005302.12","ENSG00000198692.5","ENSG00000012817.10","ENSG00000067048.11","ENSG00000129824.9"
"HG00096",-1.56724145149502,-1.41954148255908,0.0408849566664305,-0.139337108933658,-0.109716655093621,-0.253579171148003,-1.32554425513676,-1.17530735778754,0.88083101832428,-0.799618478322771,-0.577772286185281,-1.22103352434018,-0.842018492345223,-0.423545329318944,0.734431266051332,0.168038849591653,1.07861832845277,1.30893987584168
"HG00097",0.530565335141285,-0.52545347877967,-1.08810819935198,-0.616377071742908,0.430931946378229,-0.911930775580808,0.0367689970787515,0.0294818128577555,-0.658062355360429,0.698357757456056,-0.257106626564642,-0.331242368307903,2.63183885398822,-0.306864514963052,-0.858011251969213,-0.695829961494706,-0.854729717367354,-0.886522344227898
"HG00099",0.202691020306038,-1.04784086216852,-0.816835800273421,-1.06241626934952,-0.27477514848651,-1.70804545081837,-0.775717232940319,-1.18495206233219,-0.286121488454035,-0.270789229111513,0.580368363856175,1.09093741405886,2.13432366093591,1.07887595788755,-0.859932120026016,-0.698101452490394,-0.85482626665768,-0.887362727878753
"HG00100",0.845255703903947,0.5325707010569,-1.28886099619887,-0.00805322813407272,0.132202336772259,-0.718068232917085,0.773797689784721,0.525796845096655,-0.552044650187096,0.689900988330954,0.181740504016201,0.293802538022191,-0.118385691996652,0.677158215541418,-0.859932120026016,-0.688531047300031,-0.850107305153373,-0.88674660150436
"HG00101",-0.845401335746756,-1.50771227987451,-1.05162161014537,-1.62975514505106,-0.01831180115773,-1.11609410633782,-1.26940634459377,-1.5883891691592,-0.872338641495755,-0.799478489452869,-0.975268243415401,-0.346110649529053,-0.850493447594176,-0.349558862145217,2.16521464195797,1.45762796908971,1.3503627426942,1.5846976584438
"HG00102",2.34844759563891,1.17547993963193,-1.23245770443181,-1.95642312004175,-0.211491297220092,-1.31900627990236,1.57705754230658,1.94189692863908,-0.850384634700354,1.74287171593844,0.728535622115024,1.66430853798711,0.553294315040813,0.769148300039595,-0.859932120026016,-0.698101452490394,-0.842595310607497,-0.887415335968703
"HG00103",-1.28126423136552,1.01177101667532,0.290317346281414,-0.607906374547614,-0.268768598526186,0.709967492368637,-0.133355936495205,0.260113135317223,0.790370454207434,-0.799258460144873,-0.580875227732923,-1.20789881075604,-1.17104202219444,0.142543200467117,2.40679266560463,0.241774113808592,0.578952763090274,1.02832489840442
"HG00104",0.065134467216426,-0.759028797746544,-0.411256610324615,-1.41819927430678,-0.266095873969789,-0.982426405501993,-0.659588757303508,-0.582043682284355,-0.387109616208261,1.49174489601344,-1.44155030540397,-0.111751858522607,-0.649560969673014,-0.615783550355775,-0.859932120026016,-0.691891495882058,-0.852478739627186,-0.887099198051422
"HG00106",1.4294155346496,1.89338858396398,-0.530306722177561,0.868783352219743,0.489854885307273,0.688032236122862,1.09931171681585,1.55044582437745,0.17431171509885,1.85042684629723,-0.118466444602125,-0.0609937437315303,0.880236164562737,1.23586007678467,-0.851354159466339,-0.694715332664886,-0.84899560903905,-0.88534918382201
"HG00108",-0.803920070666441,-0.921439529625995,-0.851392115290195,-1.15150962188709,-0.106259146915238,-0.994020177446229,-0.967512490801605,-0.905891394336704,0.341067270965583,-0.799627323173365,0.414838562085518,-1.00841033142635,-0.966823234429114,-0.396148220850993,1.07688840599265,0.547620480527686,0.89717278738489,0.582399764605532
